name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_lfv1,strict_output_proxy,baseline,201,32.02017583848577,0.9855695458786997,0.0,0.12504922312102068,0,201,,0.0,0.4925373134328358,0,0,degradation_combo_group5,1,0.0,
always_residual,strict_output_proxy,baseline,201,31.958771241277898,0.9853763085099595,-0.06140459720786712,0.06364462591315356,201,0,0.5074626865671642,1.0,0.5074626865671642,50,26,degradation_combo_group5,1,-0.11328161653806566,
two_way_oracle,strict_output_proxy,oracle,201,32.56222845994738,0.9863448736086413,0.5420526214616078,0.6671018445826284,102,99,1.0,1.0,1.0,0,0,degradation_combo_group5,1,1.0,
decision_stump,strict_output_proxy,stump,201,32.014300874840266,0.9853912336909356,-0.005874963645502003,0.11917425947551867,123,78,0.5040650406504065,0.6078431372549019,0.4975124378109453,32,11,degradation_combo_group5,1,-0.010838364049712675,
ridge_logistic,strict_output_proxy,logistic,201,31.987149138129244,0.9855404694875082,-0.03302670035652584,0.09202252276449485,117,84,0.48717948717948717,0.5588235294117647,0.47761194029850745,30,12,degradation_combo_group5,1,-0.06092895606236827,0.5042494818768092
always_lfv1,strict_output_proxy,baseline,200,32.45291236213332,0.9838723185658454,0.0,0.24784623787573629,0,200,,0.0,0.51,0,0,degradation_combo_group5,2,0.0,
always_residual,strict_output_proxy,baseline,200,32.500769631702646,0.9844684001803398,0.047857269569325955,0.29570350744506224,200,0,0.49,1.0,0.49,37,38,degradation_combo_group5,2,0.0730537261202191,
two_way_oracle,strict_output_proxy,oracle,200,33.108009262879634,0.9849791279435158,0.6550969007463192,0.9029431386220554,98,102,1.0,1.0,1.0,0,0,degradation_combo_group5,2,1.0,
decision_stump,strict_output_proxy,stump,200,32.54671081008,0.9842392408847809,0.09379844794667823,0.34164468582241453,120,80,0.5166666666666667,0.6326530612244898,0.53,21,25,degradation_combo_group5,2,0.1431825548858777,
ridge_logistic,strict_output_proxy,logistic,200,32.62267621918178,0.9843994635343551,0.16976385704845698,0.41761009492419326,170,30,0.5117647058823529,0.8877551020408163,0.53,26,32,degradation_combo_group5,2,0.25914312349066754,0.4537797801641785
always_lfv1,strict_output_proxy,baseline,201,33.09541116575052,0.9855069559604968,0.0,0.23559164596227836,0,201,,0.0,0.4577114427860697,0,0,degradation_combo_group5,3,0.0,
